scenario,condition,unit_id,schema_valid,completeness,comp_trigger,comp_steps,comp_creds,comp_resources,trigger_exact,steps_exact,credentials_exact,resources_exact,n_steps,trigger_adapter,n_param_divergences,source_file
1,baseline,base-S1-s01,True,1.0,1/1,1/1,2/2,1/1,True,False,True,True,1,email.trigger.gmail,1,thesis-new-pipeline/baseline/outputs/run_2026-06-16T14-06-51Z/scenario-1/sample-01.json
1,baseline,base-S1-s02,True,1.0,1/1,1/1,2/2,1/1,True,False,True,True,1,email.trigger.gmail,1,thesis-new-pipeline/baseline/outputs/run_2026-06-16T14-06-51Z/scenario-1/sample-02.json
1,baseline,base-S1-s03,True,1.0,1/1,1/1,2/2,1/1,True,False,True,True,1,email.trigger.gmail,1,thesis-new-pipeline/baseline/outputs/run_2026-06-16T14-06-51Z/scenario-1/sample-03.json
1,pipeline,P1-S1,True,1.0,1/1,1/1,2/2,1/1,False,False,True,True,1,email.trigger.gmail,4,thesis-new-pipeline/scenarios/user-aspecs/P1-scenario-1_2026-06-08T10-05-22.json
1,pipeline,P3-S1,True,1.0,1/1,1/1,2/2,1/1,False,False,True,True,1,email.trigger.gmail,2,thesis-new-pipeline/scenarios/user-aspecs/P3-scenario-1_2026-06-09T20-12-41.json
2,baseline,base-S2-s01,True,1.0,1/1,2/2,2/2,1/1,False,False,True,True,2,email.trigger.gmail,4,thesis-new-pipeline/baseline/outputs/run_2026-06-16T14-06-51Z/scenario-2/sample-01.json
2,baseline,base-S2-s02,True,1.0,1/1,2/2,2/2,1/1,False,False,True,True,2,email.trigger.gmail,4,thesis-new-pipeline/baseline/outputs/run_2026-06-16T14-06-51Z/scenario-2/sample-02.json
2,baseline,base-S2-s03,True,1.0,1/1,2/2,2/2,1/1,False,False,True,True,2,email.trigger.gmail,4,thesis-new-pipeline/baseline/outputs/run_2026-06-16T14-06-51Z/scenario-2/sample-03.json
2,pipeline,P1-S2,True,1.0,1/1,2/2,2/2,1/1,True,False,True,True,2,email.trigger.gmail,3,thesis-new-pipeline/scenarios/user-aspecs/P1-scenario-2_2026-06-08T10-29-48.json
2,pipeline,P3-S2,True,1.0,1/1,2/2,2/2,1/1,False,False,True,True,2,email.trigger.gmail,5,thesis-new-pipeline/scenarios/user-aspecs/P3-scenario-2_2026-06-09T20-07-02.json
3,baseline,base-S3-s01,True,1.0,1/1,2/2,2/2,1/1,False,False,True,True,2,spreadsheet.trigger.google_sheets,3,thesis-new-pipeline/baseline/outputs/run_2026-06-16T14-06-51Z/scenario-3/sample-01.json
3,baseline,base-S3-s02,True,1.0,1/1,2/2,2/2,1/1,False,False,True,True,2,spreadsheet.trigger.google_sheets,3,thesis-new-pipeline/baseline/outputs/run_2026-06-16T14-06-51Z/scenario-3/sample-02.json
3,baseline,base-S3-s03,True,1.0,1/1,2/2,2/2,1/1,False,False,True,True,2,spreadsheet.trigger.google_sheets,3,thesis-new-pipeline/baseline/outputs/run_2026-06-16T14-06-51Z/scenario-3/sample-03.json
3,pipeline,P2-S3,True,1.0,1/1,2/2,2/2,1/1,False,False,True,True,2,spreadsheet.trigger.google_sheets,4,thesis-new-pipeline/scenarios/user-aspecs/P2-scenario-3_2026-06-08T18-04-44.json
3,pipeline,P4-S3,True,1.0,1/1,2/2,2/2,1/1,False,False,True,True,2,spreadsheet.trigger.google_sheets,3,thesis-new-pipeline/scenarios/user-aspecs/P4-scenario-3_2026-06-11T11-25-39.json
4,baseline,base-S4-s01,True,1.0,1/1,1/1,2/2,1/1,True,False,True,True,1,file_storage.trigger.google_drive,1,thesis-new-pipeline/baseline/outputs/run_2026-06-16T14-06-51Z/scenario-4/sample-01.json
4,baseline,base-S4-s02,True,1.0,1/1,1/1,2/2,1/1,True,False,True,True,1,file_storage.trigger.google_drive,1,thesis-new-pipeline/baseline/outputs/run_2026-06-16T14-06-51Z/scenario-4/sample-02.json
4,baseline,base-S4-s03,True,1.0,1/1,1/1,2/2,1/1,True,False,True,True,1,file_storage.trigger.google_drive,1,thesis-new-pipeline/baseline/outputs/run_2026-06-16T14-06-51Z/scenario-4/sample-03.json
4,pipeline,P2-S4,True,1.0,1/1,1/1,2/2,1/1,False,False,True,True,1,file_storage.trigger.google_drive,3,thesis-new-pipeline/scenarios/user-aspecs/P2-scenario-4_2026-06-08T18-11-56.json
4,pipeline,P4-S4,True,1.0,1/1,1/1,2/2,1/1,True,False,True,True,1,file_storage.trigger.google_drive,2,thesis-new-pipeline/scenarios/user-aspecs/P4-scenario-4_2026-06-11T11-17-36.json
